train_accuracy train_sensitivity train_specificity train_loss val_accuracy val_sensitivity val_specificity val_loss inp_dim n_nod act_fun out_act_fun opt_method cost_fun lr_rate lambd batch_size epochs print_results save_results
0.7007434944237918 0.4627659574468085 0.8285714285714286 0.660860300064 0.6478260869565218 0.45 0.7533333333333333 0.674401521683 8 [2] relu sigmoid adam binary_crossentropy 0.001 0.001 64 20 False True
0.5297397769516728 0.22340425531914893 0.6942857142857143 0.873341679573 0.48695652173913045 0.1625 0.66 0.87926697731 8 [2] relu sigmoid adam binary_crossentropy 0.001 0.12575 64 20 False True
0.49814126394052044 0.2925531914893617 0.6085714285714285 0.989899218082 0.5391304347826087 0.325 0.6533333333333333 0.976662397385 8 [2] relu sigmoid adam binary_crossentropy 0.001 0.2505 64 20 False True
0.5836431226765799 0.010638297872340425 0.8914285714285715 1.25431537628 0.5739130434782609 0.0 0.88 1.25613021851 8 [2] relu sigmoid adam binary_crossentropy 0.001 0.37525 64 20 False True
0.6505576208178439 0.0 1.0 1.28126978874 0.6521739130434783 0.0 1.0 1.31976652145 8 [2] relu sigmoid adam binary_crossentropy 0.001 0.5 64 20 False True
0.7862453531598513 0.5797872340425532 0.8971428571428571 0.460003972054 0.7434782608695653 0.5375 0.8533333333333334 0.489698112011 8 [2] relu sigmoid adam binary_crossentropy 0.02575 0.001 64 20 False True
0.7825278810408922 0.526595744680851 0.92 0.497931927443 0.7391304347826086 0.4625 0.8866666666666667 0.50602221489 8 [2] relu sigmoid adam binary_crossentropy 0.02575 0.12575 64 20 False True
0.7843866171003717 0.526595744680851 0.9228571428571428 0.509117901325 0.7434782608695653 0.475 0.8866666666666667 0.518057227135 8 [2] relu sigmoid adam binary_crossentropy 0.02575 0.2505 64 20 False True
0.7806691449814126 0.5478723404255319 0.9057142857142857 0.510603964329 0.7565217391304347 0.525 0.88 0.512500047684 8 [2] relu sigmoid adam binary_crossentropy 0.02575 0.37525 64 20 False True
0.7769516728624535 0.5159574468085106 0.9171428571428571 0.523980557919 0.7391304347826086 0.475 0.88 0.532480061054 8 [2] relu sigmoid adam binary_crossentropy 0.02575 0.5 64 20 False True
0.7769516728624535 0.6276595744680851 0.8571428571428571 0.456835031509 0.7608695652173914 0.5875 0.8533333333333334 0.460398823023 8 [2] relu sigmoid adam binary_crossentropy 0.0505 0.001 64 20 False True
0.7843866171003717 0.5585106382978723 0.9057142857142857 0.49546200037 0.7565217391304347 0.5 0.8933333333333333 0.499244600534 8 [2] relu sigmoid adam binary_crossentropy 0.0505 0.12575 64 20 False True
